Inventory with related information;;;;;;;;;;Characterization factors (CFs) by impact category;;;;;;;;;;;;;;;;Global NF by impact category ;;;;;;;;;;;;;;;
Flow name;Flow name original;Substance name as commonly in the statistics;Additional Specification (e.g. Emission source);Compartment;Compartment (class 2);Global inventory 2010;Unit;Source;UUID;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals
(s)-5-methyl-2-methylthio-5-phenyl-3-phenylamino-3,5-dihydroimidazol-4-one;fenamidone;;Fungicide;emissions to water;emissions to water, unspecified;5.43E+03;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);febacb90-540d-4a6f-ade4-199e6bd058ec;;;;1.66E-06;;;;;;;;;6.57E+05;;;;;;;9.04E-03;;;;;;;;;3.57E+09;;;
(s)-cyano(3-phenoxyphenyl)methyl (1r,3s)-3-[(1z)-3-[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]-3-oxoprop-1-en-1-yl]-2,2-dimethylcyclopropane-1-carboxylate;acrinathrin;;Insecticide;emissions to air;emissions to air, unspecified;2.87E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);391e7710-a52b-4e8c-887b-699a00a15e2b;;;;4.73E-04;;;;;;;;;5.54E+05;;;;;;;1.36E+01;;;;;;;;;1.59E+10;;;
(s)-cyano(3-phenoxyphenyl)methyl (1r,3s)-3-[(1z)-3-[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]-3-oxoprop-1-en-1-yl]-2,2-dimethylcyclopropane-1-carboxylate;acrinathrin;;Insecticide;emissions to soil;emissions to soil, unspecified;3.83E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);848c4286-5b41-44e7-ac4f-24bb50854c0b;;;;1.40E-05;;;;;;;;;1.35E+05;;;;;;;5.35E-01;;;;;;;;;5.16E+09;;;
(s)-cyano(3-phenoxyphenyl)methyl (1r,3s)-3-[(1z)-3-[(1,1,1,3,3,3-hexafluoropropan-2-yl)oxy]-3-oxoprop-1-en-1-yl]-2,2-dimethylcyclopropane-1-carboxylate;acrinathrin;;Insecticide;emissions to water;emissions to water, unspecified;1.92E+03;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);34afddcb-bcad-47ad-beaf-d5dd7e6a0a72;;;;1.97E-04;;;;;;;;;5.73E+07;;;;;;;3.77E-01;;;;;;;;;1.10E+11;;;
[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid;[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid;Triclopyr;Herbicide;emissions to air;emissions to air, unspecified;1.80E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);689a8a2e-68bd-4aa9-a05d-031396a89c66;;;;1.17E-05;;;;;;;;;1.59E+03;;;;;;;2.11E+00;;;;;;;;;2.87E+08;;;
[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid;[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid;Triclopyr;Herbicide;emissions to soil;emissions to soil, unspecified;8.33E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);1affeaaa-4b6f-4b57-aee0-2d1e993d5435;;;;1.86E-06;;;;;;;;;2.16E+03;;;;;;;1.55E+00;;;;;;;;;1.80E+09;;;
[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid;[(3,5,6-trichloropyridin-2-yl)oxy]acetic acid;Triclopyr;Herbicide;emissions to water;emissions to water, unspecified;1.20E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);b3fbbe1c-029f-4bc9-80ac-09c22628f102;;;;3.04E-06;;;;;;;;;1.96E+04;;;;;;;3.65E-02;;;;;;;;;2.35E+08;;;
[(z)-hex-3-enyl] acetate;cis-3-hexenyl acetate;;;emissions to air;emissions to air, unspecified;1.52E+08;kg;EU Sala et al. (2015) * 14.12 (from Cucurachi et al. 2014);8a2f6033-9982-4397-b6b2-ab71a2fc0023;;;;2.49E-08;;;;;;;;;2.32E-01;;;;;;;3.77E+00;;;;;;;;;3.52E+07;;;
{2-[(2,6-dichlorophenyl)amino]phenyl}acetic acid;diclofenac;;Pharmaceuticals;emissions to water;emissions to water, unspecified;2.66E+06;kg;EU Sala et al. (2015) * 14.12 (from Cucurachi et al. 2014);f9e44910-51df-415f-bebf-695d1bd7f20f;;;0.00E+00;1.94E-04;;;;;;;;;6.00E+03;;;;;;0.00E+00;5.15E+02;;;;;;;;;1.59E+10;;;
1-(2-fluorophenyl)-1-(4-fluorophenyl)-2-(1h-1,2,4-triazol-1-yl)ethan-1-ol;flutriafol;;Fungicide;emissions to air;emissions to air, unspecified;5.90E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);fa60f602-5527-45d5-8f51-aaa666ccb9e0;;;;3.25E-05;;;;;;;;;8.51E+03;;;;;;;1.92E+01;;;;;;;;;5.02E+09;;;
1-(2-fluorophenyl)-1-(4-fluorophenyl)-2-(1h-1,2,4-triazol-1-yl)ethan-1-ol;flutriafol;;Fungicide;emissions to soil;emissions to soil, unspecified;7.86E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);2009750a-2f60-426a-84fc-58db4344ae8a;;;;2.00E-05;;;;;;;;;1.13E+04;;;;;;;1.58E+01;;;;;;;;;8.89E+09;;;
1-(2-fluorophenyl)-1-(4-fluorophenyl)-2-(1h-1,2,4-triazol-1-yl)ethan-1-ol;flutriafol;;Fungicide;emissions to water;emissions to water, unspecified;3.93E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);8bcd64a1-c472-4ce7-950b-1239c890d541;;;;1.44E-05;;;;;;;;;3.25E+04;;;;;;;5.65E-01;;;;;;;;;1.28E+09;;;
